"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 29 23:20:14 IST 2024","Thu Aug 29 23:20:22 IST 2024","7933","","Login Module","","","","Verify list of products","<br/><strong>User Agent:</strong> Chrome 128.0.0.0 / Sonoma 14<br/><h3 class='pane__section-title'>Links</h3>"
"passed","Thu Aug 29 23:20:02 IST 2024","Thu Aug 29 23:20:14 IST 2024","11531","","Login Module","Login Example Group","","","Verify login success","A login discription<br/><strong>User Agent:</strong> Chrome 128.0.0.0 / Sonoma 14<br/><h3 class='pane__section-title'>Links</h3><a class='link' href='https://jira.example.nl/browse/TEST-ISSUE' target='_blank'><i class='fa fa-check-square'></i> JIRA Test Case: TEST-ISSUE</a><br/>"
